year,position,team,wins,losses,draws,percentage,points
2007,2,Port Adelaide,15,7,0,122.4,60
2007,3,Hawthorn,15,7,0,118.6,60
2007,4,North Melbourne,14,8,0,114.2,56
2007,5,West Coast,13,9,0,108.8,52
2007,6,Collingwood,12,10,0,104.6,48
2007,7,Sydney,12,10,0,102.4,48
2007,8,Adelaide,11,11,0,98.8,44
2007,9,Carlton,10,12,0,94.6,40
2007,10,Brisbane Lions,10,12,0,92.2,40
2007,11,Fremantle,9,13,0,88.4,36
2007,12,Western Bulldogs,9,13,0,86.8,36
2007,13,Essendon,8,14,0,82.6,32
2007,14,Melbourne,7,15,0,76.4,28
2007,15,St Kilda,6,16,0,72.8,24
2007,16,Richmond,5,17,0,66.4,20
2008,1,Geelong,21,1,0,162.4,84
2008,2,Hawthorn,17,5,0,132.6,68
2008,3,St Kilda,16,6,0,124.8,64
2008,4,Western Bulldogs,16,6,0,122.4,64
2008,5,North Melbourne,14,8,0,114.6,56
2008,6,Sydney,12,10,0,108.2,48
2008,7,Collingwood,12,10,0,104.8,48
2008,8,Adelaide,11,11,0,98.6,44
2008,9,Brisbane Lions,10,12,0,94.4,40
2008,10,Carlton,10,12,0,92.8,40
2008,11,Port Adelaide,9,13,0,88.6,36
2008,12,Essendon,9,13,0,86.2,36
2008,13,West Coast,8,14,0,82.4,32
2008,14,Fremantle,7,15,0,76.8,28
2008,15,Richmond,6,16,0,72.6,24
2008,16,Melbourne,4,18,0,64.2,16
2009,1,St Kilda,20,2,0,148.6,80
2009,2,Geelong,19,3,0,144.2,76
2009,3,Brisbane Lions,15,7,0,118.4,60
2009,4,Western Bulldogs,15,7,0,116.8,60
2009,5,Carlton,14,8,0,112.6,56
2009,6,Collingwood,13,9,0,108.4,52
2009,7,Adelaide,12,10,0,104.2,48
2009,8,Hawthorn,11,11,0,98.8,44
2009,9,Fremantle,10,12,0,94.6,40
2009,10,Sydney,10,12,0,92.4,40
2009,11,North Melbourne,9,13,0,88.2,36
2009,12,Port Adelaide,9,13,0,86.8,36
2009,13,Essendon,8,14,0,82.6,32
2009,14,West Coast,7,15,0,76.4,28
2009,15,Richmond,6,16,0,72.8,24
2009,16,Melbourne,4,18,0,62.4,16
2010,1,Collingwood,19,3,0,142.8,76
2010,2,Geelong,18,4,0,138.6,72
2010,3,St Kilda,17,5,0,128.4,68
2010,4,Western Bulldogs,14,8,0,114.6,56
2010,5,Fremantle,14,8,0,112.2,56
2010,6,Hawthorn,13,9,0,108.4,52
2010,7,Sydney,13,9,0,106.8,52
2010,8,Carlton,12,10,0,102.6,48
2010,9,Adelaide,11,11,0,98.4,44
2010,10,North Melbourne,10,12,0,94.2,40
2010,11,Brisbane Lions,10,12,0,92.8,40
2010,12,Essendon,9,13,0,88.6,36
2010,13,West Coast,8,14,0,84.2,32
2010,14,Port Adelaide,7,15,0,78.4,28
2010,15,Richmond,6,16,0,72.6,24
2010,16,Melbourne,2,20,0,56.8,8
2011,1,Geelong,19,3,0,142.4,76
2011,2,Collingwood,18,4,0,136.8,72
2011,3,Hawthorn,17,5,0,128.6,68
2011,4,West Coast,16,6,0,122.4,64
2011,5,Carlton,14,8,0,114.2,56
2011,6,Sydney,13,9,0,108.6,52
2011,7,St Kilda,12,10,0,104.8,48
2011,8,Essendon,11,11,0,98.6,44
2011,9,North Melbourne,10,12,0,94.4,40
2011,10,Fremantle,10,12,0,92.8,40
2011,11,Western Bulldogs,9,13,0,88.4,36
2011,12,Adelaide,9,13,0,86.6,36
2011,13,Brisbane Lions,8,14,0,82.2,32
2011,14,Richmond,8,14,0,78.8,32
2011,15,Melbourne,6,16,0,72.4,24
2011,16,Port Adelaide,5,17,0,68.6,20
2011,17,Gold Coast,3,19,0,58.4,12
2012,1,Hawthorn,18,4,0,136.4,72
2012,2,Sydney,17,5,0,128.6,68
2012,3,Collingwood,16,6,0,122.8,64
2012,4,Adelaide,15,7,0,118.4,60
2012,5,West Coast,14,8,0,114.2,56
2012,6,Geelong,14,8,0,112.6,56
2012,7,Fremantle,13,9,0,108.4,52
2012,8,North Melbourne,12,10,0,104.8,48
2012,9,Carlton,12,10,0,102.6,48
2012,10,Western Bulldogs,10,12,0,96.4,40
2012,11,Essendon,10,12,0,94.8,40
2012,12,Richmond,9,13,0,88.6,36
2012,13,St Kilda,8,14,0,84.2,32
2012,14,Port Adelaide,7,15,0,78.8,28
2012,15,Brisbane Lions,6,16,0,74.6,24
2012,16,Melbourne,4,18,0,66.4,16
2012,17,Gold Coast,4,18,0,64.2,16
2012,18,GWS Giants,2,20,0,52.8,8
2013,1,Hawthorn,19,3,0,142.6,76
2013,2,Geelong,18,4,0,134.8,72
2013,3,Fremantle,17,5,0,126.4,68
2013,4,Sydney,16,6,0,122.8,64
2013,5,Richmond,15,7,0,116.2,60
2013,6,Carlton,13,9,0,108.4,52
2013,7,Collingwood,13,9,0,106.8,52
2013,8,Port Adelaide,12,10,0,104.2,48
2013,9,Essendon,12,10,0,102.6,48
2013,10,North Melbourne,11,11,0,98.4,44
2013,11,Adelaide,10,12,0,94.8,40
2013,12,Gold Coast,9,13,0,88.6,36
2013,13,West Coast,8,14,0,84.2,32
2013,14,Western Bulldogs,7,15,0,78.8,28
2013,15,Brisbane Lions,6,16,0,74.6,24
2013,16,St Kilda,5,17,0,68.4,20
2013,17,Melbourne,4,18,0,62.8,16
2013,18,GWS Giants,3,19,0,56.4,12
2014,1,Hawthorn,18,4,0,138.4,72
2014,2,Sydney,17,5,0,132.6,68
2014,3,Geelong,16,6,0,124.8,64
2014,4,Fremantle,16,6,0,122.4,64
2014,5,Port Adelaide,15,7,0,118.6,60
2014,6,North Melbourne,14,8,0,112.2,56
2014,7,West Coast,12,10,0,106.4,48
2014,8,Essendon,12,10,0,104.8,48
2014,9,Adelaide,11,11,0,98.6,44
2014,10,Richmond,11,11,0,96.4,44
2014,11,Collingwood,10,12,0,92.8,40
2014,12,Western Bulldogs,9,13,0,88.4,36
2014,13,Gold Coast,8,14,0,84.6,32
2014,14,GWS Giants,8,14,0,82.2,32
2014,15,Carlton,7,15,0,76.8,28
2014,16,Melbourne,6,16,0,72.4,24
2014,17,Brisbane Lions,5,17,0,68.6,20
2014,18,St Kilda,4,18,0,62.4,16
2015,1,Fremantle,18,4,0,136.8,72
2015,2,Hawthorn,17,5,0,132.4,68
2015,3,West Coast,16,6,0,124.6,64
2015,4,Sydney,15,7,0,118.8,60
2015,5,Western Bulldogs,14,8,0,114.2,56
2015,6,Richmond,14,8,0,112.6,56
2015,7,North Melbourne,13,9,0,108.4,52
2015,8,Adelaide,13,9,0,106.8,52
2015,9,Port Adelaide,12,10,0,102.4,48
2015,10,Geelong,11,11,0,98.6,44
2015,11,GWS Giants,11,11,0,96.2,44
2015,12,Collingwood,10,12,0,92.4,40
2015,13,Melbourne,8,14,0,84.6,32
2015,14,Essendon,7,15,0,78.8,28
2015,15,Gold Coast,6,16,0,74.2,24
2015,16,St Kilda,6,16,0,72.6,24
2015,17,Carlton,4,18,0,66.4,16
2015,18,Brisbane Lions,4,18,0,64.8,16
2016,1,Sydney,17,5,0,134.6,68
2016,2,Geelong,16,6,0,128.4,64
2016,3,Adelaide,16,6,0,126.8,64
2016,4,GWS Giants,16,6,0,124.2,64
2016,5,Hawthorn,15,7,0,118.6,60
2016,6,Western Bulldogs,14,8,0,112.4,56
2016,7,West Coast,13,9,0,108.8,52
2016,8,North Melbourne,12,10,0,104.2,48
2016,9,Port Adelaide,11,11,0,98.6,44
2016,10,Richmond,10,12,0,94.8,40
2016,11,Collingwood,10,12,0,92.4,40
2016,12,Melbourne,10,12,0,88.6,40
2016,13,St Kilda,9,13,0,86.2,36
2016,14,Carlton,8,14,0,82.8,32
2016,15,Gold Coast,7,15,0,76.4,28
2016,16,Fremantle,6,16,0,72.6,24
2016,17,Brisbane Lions,5,17,0,68.8,20
2016,18,Essendon,3,19,0,58.4,12
2017,1,Adelaide,17,5,0,134.8,68
2017,2,Geelong,17,5,0,132.4,68
2017,3,Richmond,16,6,0,126.6,64
2017,4,GWS Giants,15,7,0,118.8,60
2017,5,Sydney,14,8,0,114.2,56
2017,6,Port Adelaide,13,9,0,108.6,52
2017,7,Essendon,12,10,0,104.4,48
2017,8,West Coast,12,10,0,102.8,48
2017,9,Melbourne,12,10,0,98.6,48
2017,10,Western Bulldogs,11,11,0,96.4,44
2017,11,Collingwood,10,12,0,92.8,40
2017,12,St Kilda,9,13,0,88.4,36
2017,13,Hawthorn,8,14,0,84.6,32
2017,14,North Melbourne,8,14,0,82.2,32
2017,15,Fremantle,7,15,0,76.8,28
2017,16,Carlton,6,16,0,72.4,24
2017,17,Gold Coast,5,17,0,66.6,20
2017,18,Brisbane Lions,5,17,0,64.8,20
2018,1,Richmond,18,4,0,138.6,72
2018,2,West Coast,16,6,0,126.4,64
2018,3,Collingwood,15,7,0,118.8,60
2018,4,Melbourne,15,7,0,116.2,60
2018,5,Hawthorn,14,8,0,112.6,56
2018,6,Sydney,14,8,0,108.4,56
2018,7,Geelong,12,10,0,104.8,48
2018,8,GWS Giants,12,10,0,102.6,48
2018,9,North Melbourne,11,11,0,98.4,44
2018,10,Essendon,11,11,0,96.8,44
2018,11,Port Adelaide,10,12,0,92.6,40
2018,12,Western Bulldogs,9,13,0,88.4,36
2018,13,Adelaide,8,14,0,84.2,32
2018,14,Fremantle,7,15,0,78.8,28
2018,15,Brisbane Lions,7,15,0,76.4,28
2018,16,St Kilda,6,16,0,72.6,24
2018,17,Carlton,5,17,0,66.4,20
2018,18,Gold Coast,4,18,0,62.8,16
2019,1,Geelong,16,6,0,132.8,64
2019,2,Brisbane Lions,15,7,0,117.2,60
2019,3,Richmond,15,7,0,116.8,60
2019,4,Collingwood,14,8,0,113.5,56
2019,5,West Coast,14,8,0,111.2,56
2019,6,GWS Giants,13,9,0,109.8,52
2019,7,Essendon,12,10,0,105.3,48
2019,8,Western Bulldogs,12,10,0,102.1,48
2019,9,Port Adelaide,11,11,0,99.4,44
2019,10,Adelaide,11,11,0,97.8,44
2019,11,Fremantle,9,13,0,91.2,36
2019,12,North Melbourne,9,13,0,88.6,36
2019,13,Sydney,9,13,0,86.4,36
2019,14,Hawthorn,8,14,0,85.2,32
2019,15,St Kilda,7,15,0,82.4,28
2019,16,Carlton,7,15,0,78.6,28
2019,17,Melbourne,5,17,0,74.3,20
2019,18,Gold Coast,3,19,0,65.1,12
2020,1,Richmond,15,3,0,138.2,60
2020,2,Brisbane Lions,14,3,1,128.4,58
2020,3,Port Adelaide,14,4,0,127.6,56
2020,4,Geelong,13,4,1,126.8,54
2020,5,West Coast,12,5,1,115.3,50
2020,6,St Kilda,10,7,1,107.2,42
2020,7,Collingwood,10,7,1,105.8,42
2020,8,Western Bulldogs,10,8,0,103.4,40
2020,9,Melbourne,9,9,0,98.6,36
2020,10,GWS Giants,8,8,2,97.2,36
2020,11,Carlton,7,11,0,92.4,28
2020,12,Essendon,7,11,0,88.6,28
2020,13,Fremantle,7,11,0,86.8,28
2020,14,Sydney,6,12,0,82.4,24
2020,15,Hawthorn,5,12,1,78.6,22
2020,16,North Melbourne,3,15,0,68.4,12
2020,17,Gold Coast,3,15,0,65.2,12
2020,18,Adelaide,3,15,0,62.8,12
2021,1,Melbourne,17,5,0,133.4,68
2021,2,Western Bulldogs,16,6,0,127.8,64
2021,3,Brisbane Lions,15,7,0,118.6,60
2021,4,Geelong,15,7,0,116.2,60
2021,5,Port Adelaide,14,8,0,113.8,56
2021,6,Sydney,13,9,0,111.4,52
2021,7,Essendon,11,11,0,102.6,44
2021,8,Richmond,11,11,0,101.8,44
2021,9,Fremantle,10,12,0,96.4,40
2021,10,GWS Giants,10,12,0,94.8,40
2021,11,Carlton,9,13,0,92.2,36
2021,12,St Kilda,9,13,0,88.6,36
2021,13,Gold Coast,8,14,0,86.4,32
2021,14,Collingwood,8,14,0,84.2,32
2021,15,West Coast,7,15,0,78.6,28
2021,16,Hawthorn,7,15,0,76.8,28
2021,17,Adelaide,6,16,0,72.4,24
2021,18,North Melbourne,4,18,0,64.2,16
2022,1,Geelong,18,4,0,139.2,72
2022,2,Melbourne,15,7,0,124.6,60
2022,3,Collingwood,15,7,0,118.4,60
2022,4,Sydney,15,7,0,116.8,60
2022,5,Fremantle,14,8,0,113.2,56
2022,6,Brisbane Lions,13,9,0,108.6,52
2022,7,Carlton,12,10,0,104.8,48
2022,8,St Kilda,12,10,0,102.4,48
2022,9,Western Bulldogs,11,11,0,98.6,44
2022,10,Richmond,10,12,0,96.2,40
2022,11,Port Adelaide,10,12,0,94.8,40
2022,12,Gold Coast,9,13,0,92.4,36
2022,13,GWS Giants,9,13,0,88.6,36
2022,14,Hawthorn,8,14,0,84.2,32
2022,15,Adelaide,7,15,0,78.6,28
2022,16,Essendon,7,15,0,76.4,28
2022,17,North Melbourne,4,18,0,66.8,16
2022,18,West Coast,2,20,0,58.4,8
2023,1,Collingwood,17,5,0,131.6,68
2023,2,Brisbane Lions,16,5,1,126.4,66
2023,3,Melbourne,15,7,0,118.8,60
2023,4,Port Adelaide,14,8,0,115.2,56
2023,5,Carlton,13,9,0,112.6,52
2023,6,Sydney,13,9,0,108.4,52
2023,7,GWS Giants,12,10,0,104.2,48
2023,8,St Kilda,11,11,0,101.8,44
2023,9,Western Bulldogs,11,11,0,98.6,44
2023,10,Geelong,10,12,0,96.4,40
2023,11,Adelaide,10,12,0,94.2,40
2023,12,Gold Coast,9,13,0,88.6,36
2023,13,Fremantle,9,13,0,86.4,36
2023,14,Richmond,8,14,0,82.8,32
2023,15,Essendon,7,15,0,78.4,28
2023,16,Hawthorn,7,15,0,76.2,28
2023,17,North Melbourne,5,17,0,68.6,20
2023,18,West Coast,4,18,0,62.4,16
2024,1,Sydney,17,5,0,134.2,68
2024,2,Brisbane Lions,15,7,0,122.6,60
2024,3,Carlton,15,7,0,118.4,60
2024,4,Geelong,14,8,0,114.8,56
2024,5,GWS Giants,14,8,0,112.2,56
2024,6,Western Bulldogs,13,9,0,108.6,52
2024,7,Hawthorn,13,9,0,106.4,52
2024,8,Port Adelaide,12,10,0,102.8,48
2024,9,Fremantle,11,11,0,98.6,44
2024,10,Collingwood,11,11,0,96.4,44
2024,11,Melbourne,10,12,0,94.2,40
2024,12,Essendon,10,12,0,92.8,40
2024,13,Adelaide,9,13,0,88.6,36
2024,14,St Kilda,8,14,0,84.4,32
2024,15,Richmond,7,15,0,78.2,28
2024,16,Gold Coast,7,15,0,76.6,28
2024,17,North Melbourne,6,16,0,72.4,24
2024,18,West Coast,4,18,0,64.8,16
2025,1,Adelaide,18,5,0,133.1,72
2025,2,Geelong,17,6,0,125.3,68
2025,3,Brisbane Lions,16,6,1,120.9,66
2025,4,Sydney,16,7,0,117.3,64
2025,5,Hawthorn,15,8,0,112.9,60
2025,6,Collingwood,14,9,0,108.5,56
2025,7,Gold Coast,15,8,0,107.2,60
2025,8,Western Bulldogs,13,10,0,103.0,52
2025,9,Carlton,12,11,0,101.2,48
2025,10,Port Adelaide,12,11,0,98.8,48
2025,11,Fremantle,11,12,0,97.6,44
2025,12,GWS Giants,11,12,0,95.4,44
2025,13,Melbourne,10,13,0,93.2,40
2025,14,St Kilda,9,14,0,90.9,36
2025,15,Richmond,8,15,0,85.6,32
2025,16,Essendon,7,16,0,79.3,28
2025,17,North Melbourne,6,17,0,73.4,24
2025,18,West Coast,5,18,0,68.8,20
